Data,Entry
17 November,"Dear Anna,I've been a bit done this week in my alone moments. I've been super busy seeing everyone. I've had plans every night this week and socialised on all of them. But it has meant that I also haven't spent a lot of time working on myself. Tonight I'm going to have a self-care night and try to focus on why I'm feeling down. I've been meditating which is being helping me understand a little more what's going on. I'm going to try and keep that up. In therapy today they spoke about a warrior journal which I think in my try. So I write down why ovaries during the day and school them but then I let them go and only give myself 30 minutes to reflect on them in the evening. Which I think will be helpful to break that cycle. I really want to go to the gym but I can't find the motivation. Today I really need to do some uni work because otherwise I'm going to be really stressed and behind. So for future Anna I'm going to do it today.I love you a lot,Anna x"
18 November,"Dear Anna, You really need to hear this. Someone who makes you feel safe. Someone who has your best interests at heart. There is so much to love about you. You have been through things that they can't imagine. You will find someone who will want to understand. You deserve some kind. You're moving to a better place. I know it doesn't feel like this but you deserve the world. I won’t that you settle for anything less but you have to love yourself first. You'll find someone who would cross oceans for you. Someone who shows up when you need them to. No less. Be proud of how far you have already made it. At 23 you stopped a toxic relationship. You did that for younger you. She loves you for that. You understanding more about yourself an actively doing whats best for you. And I am eternally proud of that. Keep pushing and don't you dare give up. The life you wish for is right there to grab. Just go for it. You deserve it. You really do. You are the only one who doesn't see that. Get with the track. It's time to play. I <3 U XX"
20 November,What's happened to you? I know every day is up and down but you've been very happy today. I think dance music is to blame. Anyway well done for doing uni work
21 November,"Dear Anna, My attention span has been terrible recently. I went for run this morning but it did take up a good chunk of my morning. I have two hours till uni, so I'm going to tidy my room so it's nice when I get back on Wednesday. I'm also going to change my bedding and pack for Phoenix’s. I love you, keep taking your meds.Happy TuesdayLove Anna "
23 November,"Dear Anna, Life is getting busy again but I'm keeping my well-being at the forefront. Let's talk about the big thing first. I spoke to Jacob today. I had a red stripe at 3:00 PM I don't feel bad about it. I told him I need some space and he was fine about it but told me he wouldn't reach out and I would need to be very clear when I wanted contact again. I said I would. I gave him some advice about dealing with his feelings because he said he had really dealt with it too. I'm happy I told him everything I wanted to regarding us. He also told me some anecdotes and I returned the favour even though it felt a little unnecessary but we're still nice to see him. It still feels a little unfinished but I'm fine with how it went. I'm proud of myself. Everything I said I believed and came from me for me. That is a strange feeling to describe. We also saw so many people from my course which was quite nice as well. I feel like I was understood and I feel like this is what I needed. The truth is he isn't going to sweep in and save me. I am my own knight in shining armour. I don't want to let my trauma dictate my life anymore. How crucial is that. Really. I'm strong enough. I know I deserve to be loved I have the ability to sit down and diagnose my feelings. I'm whole . I'm present.I love you an unbelievably amount.This is for the best.Lots of Love,Anna XX"
27 November,"Dear Anna, Today I realised he stole so much of my identity, I'm scared to share myself with someone in case it happens again. It’s gut wrenching but realising the problem means I can accept it and develop into the person I want to be. Strange is seen as I realised I wanted to tell Jake but I don't need to, the love I have for myself is enough. And all I need to be is present.Dear Anna,I'm so proud of how far we have come. Let's not start slacking. Keep up the meditating shit and try to do this journal every day. Stay hydrated and eat well. Keep listening to love songs and watching ROM coms. You know one day you'll meet someone who you’ll never be able to live without.Til then I have you.Lots of Love,Anna "
29 November,"Dear Anna, I'm going to write later but before work I wanna say you are the person I aspire to be. Amazing, beautiful and kind. I love you. I love you for wanting to run a marathon (half) Do it for little Anna she would be astonished by our beautiful life.Lots of love Your favourite Anna Dear Anna, I have had an absolutely amazing day apart from the karens at work. I am now known as marshmallow queen which is just bonkers. I realised today how good I've been doing recently and I'm so proud of myself. I'm being kind to everyone I meet Even when it's hard and I've been practising patience. I've realised that I have beautiful people around me and I live in a wonderful city. I'm going to keep focusing on my mental health and take steps every day to better myself. Also my creativity is coming back and I'm so happy. I love you more than words can describe - Anna"
30 November,"Dear Anna, I'm so tired today and it's cold outside but I’m persevering. I’m happy about my group at uni I think it's going to be fun. I'm worried I don't have enough time but I will find time. I need to order some motors tomorrow.  In theory it shouldn't take too long and I cnat wait to see it alive. Jonny’s reaction was very funny but I don't think he understands the point in pointless. I just need to sort through my data set and read through the extra information for interface. Anyway I'm off to work I can handle anything that happens today,Love you, Anna"
1 December,"Dear Anna, I plan to go through in today but I overslept which I thought was gonna happen anyway. And I thought I called coming on so instead I'm going to do some yoga and drink some warm drink today instead. I have taken on a lot recently and I'm not sure my mind and body are ready for it yet. So today I'm going to be kind to myself and I'm going to get on with some uni work and look after myself today. Anyway check back in later.Lots of love Anna (OMG I dream jacob's parents died in Ross. It was awful)How could I possibly explain?The feeling of terror in place of love.Imploding and exploding.The vulnerability is too painful,what's worse is I wanted to.Every ounce of me wanted to.I can't even let go.I was scared of you.Felt like a child.How do I differentiate between fear and devotion.When I was told they were the sameI saw his face in yours.I will not apologise.You couldn’t handle me I can, and more,I love every part of myself that was too much, for you."
4 December,"Dear Anna, I let myself slip this weekend. Add a really good time but it's actually not really what I want at the moment. I don't want to be waking up tired on Monday because of the weekend. I won't be running in the mornings. I want to be ready for uni on Monday morning. Want to feel clean. I'm tired of waking up hungry. This week I will eat 3 meals a day. No excuses this week we're gonna smash it. I'm going to look after myself and focus see how I feel next Monday.Love you, Anna x"
5 December,"Dear Anna, Feeling a bit better today, still a bit down. I went for a run this morning which felt good but it was hard work. I feel rushed in a bit stressed. I'm gonna go to uni now and then head to Jonny’s after. I’m trying to look after myself. Lots of love Anna"
6 December,"Dear Anna, I had a great time at our Christmas party. Everyone's presents were so good. I got really annoyed at Jacob but Camo let let me talk to him about it which was really nice actually. The food was fantastic. We played a fun game as well. I feel a bit out of sorts today. I didn't really want to drink last night but I did anyway. Jacob was sick everywhere including on my bag. I feel totally unproductive today but I have work later and that will cheer me up. I had a good time at uni yesterday I really like my project even if it isn't exactly what they want. I just need to make sure I work on the other ones too.Keep trying to look after yourself. I know its hard.Lots of love, Anna Dear Anna, You have a place in this world, I know it's silly but you really did make a lot of people's night tonight. Earning 40 of  tips in six hours this mad. 5 really. Not that we are basing our self worth in over peoples opinions of us but you're very loveable kind and good hearted. Think about this when it's hard to get out of bed in the morning. A day as Anna Freer is a day worth spending. Keep chatting shit and making friends because their lives are better with you in it. I love you so so much. Keep fighting, take your meds, sleep well and tidy your fucking room.Youre killing it Lots of Love Anna"
7 December,"Dear Anna,I'm starting to enjoy my alone moments. I feel like socialising gives me energy and being alone soothes me. Keep saying: I belong here, my voice and opinion is important, I am clever and smart, I bring something unique to the table. I'm off to work soon and I'm absolutely shattered I'm glad I found some time for myself between uni and work. Lots of love Anna"
11 December,"Dear Anna,I've had a crazy weekend. On Friday I went to camos drag show I had so much fun and then Saturday I went to see the Liverpool palace game and I saw Trent. Then after I went straight to work and after that I went to Tropix in Clapham and drank Wray and Nephew till 2:00 AM. Sunday was my favourite. I went to see Paris and Amy, Tom was there and Ben. Emily join us we drank red wine and chatted shit. Then Zeus turned up And I have not laughed so hard in ages. We're planning a trip to Amsterdam, for a Jungle Boat Party! I'm so excited I want to keep sent it and focus on my mental health because this week is going to be a tough one. I love you always. Actually have a lot say still and I realise this entry is on the wrong page. Paris told me that she thinks me and Bailey will get married which seems bizarre but I want to look after myself and not live in a fairy tale. I want to be in love again. I miss the feeling path to be patient I guess and focus on what I want and believe. I need to grow. Early I really do want to be the best version of myself and that starts with self acceptation and self compassion. Turn all of myself and be proud to keep being who you are. the pieces will fall into place.Lots of Love Anna"
12 December,"Dear Anna, I had a line in today which was so needed. I didn't go for my run this morning but I will go at some point this week. I'm starting to get annoyed at Jass and Daniel for being so loud at night. I need to talk to Jass about it but he's always there.I’ll  Find time soon.I need to write a to do list today : washing food shop Christmas shopping Deep journal Emails Crochet Shower Tidy  Clean Dear Anna, I’ve lost touch with myself recently. Think I've been so busy and obviously the drink doesn't help. Had a great time over the weekend really the best in a while by Mori that is because I want to feel needed I like that people like having me around but I hate when they say every story I tell is about being drunk. I caught myself earlier being mean to myself about being so poor. I had to pay rent with my overdraft and it feels like maybe I won't be financially positive after winter Wonderland. When I get my loan in I need to portion it for my rent. I didn't do it in September because of my mental health but I'm in a better place now. I get tired really easily now. But I still do a lot. I want better energy levels I guess. I just wanted to everything but I also don't have the motivation. 3 hours a day is not too bad on my phone. I want to feel more confident. Not just in social moments. I feel as if I know how to act confidently. I am source of energy that glows, vibrant as a spring morning. I am warm and kind. Sweet, innocence. I'm lovable deserve true love.  One who travels oceans for me and I, them. I want some to solely have good intentions that is the love I deserve. I want someone to love me the way I'm learning to love myself. In spite of my imperfections, I really do love you Anna."
14 December,"Dear Anna, I woke up at 2am today And  set so many alarms. I wanted to go for a run this morning but now I don't have time. I don't understand why my body needed to sleep that much maybe because I didn't have much planned for today. I'm going to realign and go charity shop shopping try to get some fresh air maybe I'll go for a walk in the park. I'm seeing Yaz tonight so I don't have loads of time to mill about but I'm going to make time for myself it's hard to not get annoyed at myself when stuff like this happens but it's OK really not the end of the world I just want to feel better for later on.Lots of LoveAnna"
20 December,"Dear Anna, I decided to be naughty Anna for the next 10 days and in the new year I'll be good. I need to get something off my chest. I really fancy this guy from work. I can already feel that I'm going to look back at this and laugh. His energy infectious. He makes me laugh, keeps me on my toes. I just think he’s fit as fuck. I'm might ask him on a date. I wanna play mini golf.  It's so intrusive. I like him, I like the negging, I wanna know more. Anyway moving on, I slept with Fi again last night. It was good but I don't think I have feelings for her which is a shame I can't change that. My mind's been running a mile a minute recently. I think I need to make more time to process and reflect how I'm actually feeling. I do feel a big change coming soon and I need to be steering it. I love myself, always, flaws and allLove Anna"
27 December,"Dear Anna, Life has been really busy lately I need to make sure self-care and reflection is more integrated in my daily life , at the moment it feels like the first thing I forget. I also keep forgetting to take my meds. I think a more grounded routine in the new year will help with that. I'm really proud of myself and the way I've handled December. I haven't been perfect but I could have let December break me but I didn't. December help me move on from Jacob, make new friends and realise how important Phoenix and Camo are in my life. It also shown me how fragile I am. I don't mean that in a bad way I'm just reflecting but every night I went on I got with someone different and I think this is because I feel the need for love. I need to keep loving myself and practise being comfortable alone. All that I had fun and I don't regret anyone I got with, I need to be more safe about it. It’s definitely time for an STI text. I had a nice time at Christmas with my family. It was very quiet, Em + George’s mental health aren't so good at the moment and I definitely let it over shadow mine as per. I really need to tell mum and dad I want private therapy I don't know why it's so hard to ask for help. I need to do my year in review, I think it's going to be difficult to face 2023.First I’m gonna write 24 Goals for 2024 1. Learn to juggle 2. Run Hackney Half 3. Make Clothing 4. Work a festival 5. Paint a self portrait 6. Travel to a new country7. Find a football team8. Visit an exhibition every month9. Find a new hobby10. Write down memories11. Fall in love12.  Make a new bestie13. Find forgiveness 14. Therapy < do some 15. Find a new way to express self compassion16. Get a new tattoo 17. Make Jewellery 18. Cut down screen time 19. Go on lads holiday 20. Find perfect rave outfit 21.  22.  23.  24.  "
28 December,"Dear Anna, I realised how much work I really need to do to get my mental health in a better place, I can feel the shift already but I think I'm gonna have to distance myself. Need to be able to say no. No, I wanna stay in. No, I can't get drunk. No I'm not smoking at the moment. I want to be consistent make a routine for myself I want to learn to be compassionate. Talk to myself as a best friend. For my inner dialogue to know who she is and what she wants. I want to imagine a future and to work towards that. Together me and you.Love always,Anna xx"
29 December,"Dear Anna, I can't believe it's nearly New Year's already. I need to look after myself in the run up, I woke up feeling 50%, half depressed, half fighting. So I'm going to fight to make my life easier."
31 December,I love that Sunday is the last day of the year. No regrets and all but fuck 2023. I needed you but that doesn't mean I enjoyed you. There was some great times. I found true friends. I fell in love. I realised my past loams over me like a creepy man on the tube and I need to call him out. I'm already quite overwhelmed but I'm taking time to sort myself out.
2 January,"Dear Anna, I'm writing this with Jonah’s Mums pen turns out she works from the corner from mine.  I still fancy him so much, The timing is all wrong though I know that. The last couple days have been absolutely mental. NYE was way better than I expected, because of my new mates. We just chatted absolute bollocks. I worked today too and I’m fucking exhausted. I’m resting tomorrow and doing good mental health exercises. I might go for a walk and organise myself better. I'm happy to start dry January today. FUCK 2023. 2024 – the year I look after me.Happy new year sunshine love you and your crazy, endlesslyAnna "
4 January,"Dear Anna, I'm really enjoying my alone time at the moment. I feel a bit bad for my mates but I feel like I'm healing. I'm really happy that I've made this much progress that I can sit and reflect on that. Cal’s waiting on a shag – on the phone to me. Nervous – hilarious. The lives of gay men, really took the Internet by story. I didn't have loads to talk about I went to uni today plan some stuff. Gonna have to work through the weekend but that's fine I don't really have plans anyway.Look after yourselfLots of love,Your Favourite Anna"
5 January,"Dear Anna, I've been meditating recently it keeps bringing me almost to tears… almost. I see beautiful glimmers. The colour so vibrant. I'm gonna keep practising. I like this soberness of January, knowing I won't wake up hungover. I'm reading the body keeps the score. Struggling to concentrate but unearthing another part of myself with every sentence. I know the process is slow but I'm proud of myself but I want to smoke so badly. If I start I won't stop. But I want it. The feeling will pass, slowly but surely. I love you, madly,Anna Declaration to myself: I will listen to myself and my needs and accommodate to them I will practise deep breathing I will sit with feelings even when uncomfortable. Accept and move on I will read the body keeps the score I will make time for myself I'll be proud of myself I would love myself, madly."
6 January,"Dear Anna, if you need a film to watch to remind you of recovery and its truth - watch good grief. I feel the poetry returning. We art and love of life. Understanding my trauma comes in waves, breezes and breaths. Acknowledging the ones I love, loved and will love. The people who have, will and do you love me. I'm a maker, a doer, a drawer, a painter and being. I'm present and understanding. I take each breath as it comes. Deeper than the one prior. For you on your journey, wherever it takes us. I will be there,always, Anna to deny sorrow is to deny love"
7 January,"Dear Anna, I'm a bit annoyed today because I was really excited to see Camo but Jacob is there and I can't really be fucked to deal with it. He has a strange energy at the moment and it makes me feel uncomfortable. I just don't know where the boundaries stand. I also hate the feeling of walking on egg shells. I think I just wanted time to catch up with Camo feeling safe and like I can talk about anything. I'm still going just a bit later. I might drop my stuff off and going to see Amy. Anyway I'm proud I could see and understand those feelings.Lots of love,Anna"
8 January,"Dear Anna,my dearest Anna, my head's a mess. It's been spinning around. I forgot to take my antidepressants again. I was productive today. Went to uni with Amy. But I don't feel very settled. I probably just need to meditate. I just feel a bit fuzzy. Tomorrow will be busy too. I want to go for a run but I feel tired and unfit. Although I know run will help with that. I'll be impressed if I manage it. I've been talking to other men I'm in love with in my head. Knowing how hard it is to fall in love, I wish I could focus on other things. I want to be alone but also I love to distract myself by people. To feel needed. But why is it so hard to feel loved? I had a lovely time with Camo last night he's a true friend. I love him for who he is, unapologetic. He's one of my favourite people to be around. Feels like a fight to work on my mental health. Like all the doors are locked, but I'm trying, god damn it. I’m fucking trying, It is tiring but I will keep at it. I love the world I live in too much not too. It's too much to lose it's a strange feeling almost like suffocating. I'm glad I'm getting this out. I feel the weights lifting off. It's hard to know what I need, to rest or to push. Feel so stuck in my own head. I want a therapist like Amy's, he seems so nice. I'm tired but I might meditate now. I won't feel rested when I wake up tomorrow. It's a new day and all that shite. Anyway future Anna,I love you, you’re who we are doing it for – present Anna."
9 January,"Dear Anna,There's a lot flying around in my head today but I'm being productive even if it's not quite going right. I told phoenix that she can't stay around tonight so I can look after my mental health and she took it well. She also asked me to be good around Sydney this week. I'll be on my best behaviour. Feel a bit rushed and not resold but all things considered is quite calm. I'm going to uni now. The pub quiz later. I feel super stressed about money but it's really OK we have time.Love you lots,also your hair looks amazing today. Love, Anna"
10 January,"Dear Anna, Proud of you for telling Johnny. Feel like I'm hiding away from the conversations on my phone but I'm really busy with uni stuff and to be honest I'm not really in the mood to be social. I'm even feeling like saying phoenix might be too much. But I've been super productive today and I deserve a nice night at the pub. I'm tired today but I think it's the weather as well. Tomorrow is the creative stuff which is stressing me out. I'm not going to do anymore uni stuff now. Gonna meditate, eat, pub, bed.Love u lotsSuper proud So clever Lots of love Anna"
11 January,"Dear Anna,So proud of you today, you absolutely smashed it. Keep up tomorrow. I'm shattered but I'm gonna go to bed early. You've been great today lots of work for deadlines but I'm impressed with how good you are. Just remember to look after yourself and stay present. Also thought about the future, maybe I could work in robotics. I like it and it pays well. Also I think I could walk into a job straight after uni and could travel with it too.Anyway sleep well, talk tomorrow, lots of love, Anna"
12 January,"Dear Anna, What is it quiet today? Too much time in your room? It's OK you're a good girl. Don't be scared. Put some raves today. So about supriya T. Didn't do much any work but lots of admin. Remember how your smile lights up a room. Your stories transcribe people. You have lots the same your beautiful curly hair. But baby got. Please. Meditate.. See phoenix. It will be worth it, I promise. You got this.Anna "
13 January,"Dear Anna,I finished my leg warmers today. I have kind of got off the bandwagon with any work. I think I need to recentre and refocus so I'm going to go on a walk maybe buy new journal and buy something nice for dinner. Then I'm gonna come home and focus on any work. Gonna sit in the living room because my back hurts from sitting in my bed or on the floor. Anyway love you lots, Stay on the straight and narrow kiddo.Love ya,Anna"
14 January,"Dear Anna Sorry I'm 49 minutes late. It wasn't that I was so busy today I just thought I had done this. Today I went for a run, cleaned the downstairs, did future and also I went to see Paris and Amy. They came south for me. We booked Amsterdam, I'm so excited. Just a little too poor for it. I have savings but I need to get a new job soon. Anyway… I love you so much, endlessly. His to breaking the chain and looking after our assets.Stay strong kiddo,sweet dreams,Anna"
15 January,"Dear Anna,I'm only 37 minutes late tonight. So busy at the moment with uni. I'm trying to keep it together, no I am. I do feel overwhelmed today but my self-confidence has improved massively recently and I got angry today in my lectures which was fair and I realised it was the first time in ages I went mad in the moment, an appropriate amount. I feel like meditating is working I'm signing out a lot less, even if it means I feel like I need to spend more time by myself. One final push at uni, is gonna be worth it, I promise. I love you so much. You're smart, ambitious, funny, outgoing, compassionate and becoming more and more yourself. I'm abundantly proud of you.Love, Anna"
16 January,"Dear Anna, I still haven't cried yet this year, I might watch a sad film to get it over with. I've been on the verge during my meditations. Lily thinks it's a good thing. When I meditate today I pinpointed a pain in my back/shoulders when I was saying ‘may I be safe’. It feels a lot better now actually. I'm off to uni now. Feel good. I'm present. I am loved. I am Anna.Lots of love,Anna"
17 January,"Dear Anna,Anna, Anna, Anna. To be fair this was always going to happen at some point. I need to be more careful, but that's OK, the antibiotics will come tomorrow. I do need to contact the others I will. I'm scared, but it's the right thing to do. I think it's strange how it's only rectal Because the only person I did anal with was Jacob. I'm gonna have to tell him in person. Fuck. I know I only want to shag people I have the connection to but I don't know why sometimes a night out doesn't feel complete without bringing someone home. It's nothing to be ashamed of I really want to drink the full stop a shot of vodka or something. Want to cry but not about this. Is it disassociating to watch that's sad Lewis Capaldi video so I can cry? It's all going to be OK.I love you, no matter what.Anna 17 January So I broke dry January if I had one glass of wine and I can already feel the depressing elements. I'm looking at old photos. I realised I'm not that person and what a hold the drink and the drugs had on me. I think I like my sober little life. What is the meaning of being present? I disassociated a lot today, which is fair. Today has been quite a lot but I also feel quite present. My mental health is in such a bad place. Before talking to Lily and Sinead You say scattering and today I really leaned on them. I sat in the kitchen alone, it's the little things really.Anna, you got this.I love you endlessly, madly and totally – yours, Anna"
19 January,"Dear Anna, Yesterday what is the hottest day in awhile and the first in 18 days I had not written to you.  I was so sad, very sad. I spoke to a woman on the phone. She asked me if I was in danger because I ticked the domestic violence box. It was an honest mistake, a slip, it does feel like I'm still in that situation sometimes. I have that battle in my mind. But I'm fighting. Fighting -b command, manoeuvre in battle. In Korean contacts used to express encouragement incitement or support. I fight for the currently, past me, for the girls, the gays ,my friends, family and of course you. I'm realising the fight is over. It ended in 2018. My mind my body still think I'm there, it's the PTSD. I'm learning that the present is here, now. In London, in age, in wisdom. What should me was talking about the threesome in September. The rape. The third time. I couldn’t escape. But I will not let that happen again. Survivor- a person who copes well with difficulties in their life. I am proud, I have overcome every difficulty in my life. With age I'm getting better. I'm not perfect but I'm a survivor. I will keep fighting, it's what I know, it's how I'm trained, I'm strong. We are in control. We are safe. We are learning. I can lose a year of ‘20’s’ I have last years to fit in in that box. I'm about to break free. The revolutions are always hard to digest. Forever yours anna."
21 January,"Dear Anna, I was sick yesterday when I was meant to be doing any work. I let myself go to bed early and ordered takeaway because I was too sick to go to the shops. I look up this morning at 4:00 AM and felt the most awake I felt in a long time. I got up and did some uni work and I thought with my laundry. My laptop then started messing up so I took a break since then I have done 3 meditations and a 20 minute morning yoga. I feel good I can't wait for these deadlines to be over.Lots of love,the crazy one,Anna"
23 January,"Dear Anna, I got wasted last night with the winter Wonderland crew and had a great time but I don't feel good about my relationship with alcohol. And need to be confidently sober. I think I need to talk to a professional though. I’m exhausted and I feel so sick and to be honest I didn't really enjoy clubbing. But that's 'cause it was heaven. I'm gonna try and get an early night tonight and get up early tomorrow.Lots of love,Anna"
27 January,"Dear Anna, I feel a lot better now come on I just need to remember to live life the way I want to. I'm 7 out of 10 now just leaving the house come I doing any work come by talking to my housemates and eating well. It's 7:00 PM on a Saturday and I feel like arisa is sorting me out. I'm gonna push through and do more uni work tomorrow. I'm so happy with my job tattoo as well. Life is looking up, you don't have to prove anything to anyone. They haven't lived your life come out you process and learn from experiences and that's life.Keep your head up, Love ya, Anna"
28 January,"Dear Anna, Feeling pretty good, racing thoughts but manageable. I had breaky with Lily and Sinead was lovely. I want to plan out my week.A friend like Max.You were my Max, the type of boy who messages happy birthday at 6:00 AM, the type of boy he drunk texts but reacts at 2:43 and messages the next day. The type who writes: your waist is photosynthesizing but deliberately typos to cover the confusion.The boy you run from till the time is right, the boy who crosses oceans to find you have a boyfriend, the boy I would wait an eternity for. Just in case the time is right."
